iteration,env_steps,elapsed_time_s,speed_steps_per_s,avg_return,cvar,policy_loss,value_loss,entropy
97,794624,1090.4720375537872,728.6972729558005,310.39186636279965,-54.457613907940434,0.0013718696718569845,70.76253885030746,1.029655943159014
98,802816,1102.3495166301727,728.2771824077796,413.92134144043075,-54.457613907940434,-0.00031241569377016276,36.9453933686018,1.0343449329957366
99,811008,1113.3375494480133,728.4475408218229,346.63433658937777,-54.457613907940434,-0.0003016997579834424,42.82803998142481,0.9630470466800034
100,819200,1125.3388314247131,727.9585286885266,425.1693077664809,-54.457613907940434,-0.0008521271483914461,73.89184089004993,1.032085282728076
101,827392,1136.5626277923584,727.9774820742729,397.0672216109873,-54.457613907940434,0.0011375583380868193,72.38778122514486,1.02002624142915
102,835584,1147.8520138263702,727.954466198632,325.466087577573,-48.24328412000379,-0.0011260565879638307,44.97815029323101,1.0137090901844203
103,843776,1158.9346952438354,728.0617307107824,287.97140754498537,-48.24328412000379,6.874586324556731e-05,44.94484609365463,0.9719556062482297
104,851968,1169.6221849918365,728.4129960359347,342.4801479243984,-48.24328412000379,0.0012983956257812679,44.784413397312164,0.9962888299487531
105,860160,1180.2940759658813,728.7675313426419,266.43754141590665,-48.24328412000379,0.0014617989800171927,38.9933390468359,1.0052369609475136
106,868352,1192.3992314338684,728.2393154143522,390.5638476083244,-47.5911547403668,-0.0017009969742503017,40.471753880381584,0.956348389852792
107,876544,1204.1901252269745,727.9116325877383,264.14403610269363,-47.5911547403668,0.002389476361713605,56.769716545939445,0.9864475950598717
108,884736,1216.2343771457672,727.4387376520959,237.4940229059563,-48.24328412000379,0.0050931887853948865,53.75775334239006,0.9900681576691568
109,892928,1227.8395535945892,727.2350832695433,223.38338902037475,-58.14933521284785,0.0056799050071276724,57.088103637099266,0.9380422439426184
110,901120,1238.1409196853638,727.8008388810803,307.1252625001994,-48.24328412000379,0.0009169114491669461,45.1143429800868,0.9347599823959172
111,909312,1249.0038602352142,728.0297755274808,52.63195642335303,-78.46126482282837,0.003916696758096805,144.98592421412468,0.9505487936548889
112,917504,1260.0272476673126,728.1620311771626,233.34700764890408,-146.1082087698196,0.0006123666753410362,57.989377960562706,0.9007211099378765
113,925696,1270.9442794322968,728.3529380324119,194.62129159274832,-151.7584152667867,0.00278094161694753,76.29555231332779,0.974253251682967
114,933888,1281.065604686737,728.9931105662356,211.92660230991876,-151.7584152667867,-0.0007826827277312987,88.7512237727642,0.8697817181237042
115,942080,1290.4833734035492,730.0210288764415,261.9200482133542,-146.07950233937657,-0.0023379939557344187,74.67692068219185,0.8418718161992729
116,950272,1299.9480764865875,731.0076588353678,279.7699693524331,-146.07950233937657,-0.0016305778262903914,88.7645942568779,0.8333253348246217
117,958464,1312.1784377098083,730.4372427219893,282.07747203516027,-146.07950233937657,-0.0004897302169410978,43.71110060811043,0.9093881533481181
118,966656,1324.4303095340729,729.8655074875659,263.71652698334685,-146.07950233937657,-0.0015399143921968061,49.10381570458412,0.8445729385130107
119,974848,1335.1958479881287,730.1161110326246,400.1102415946266,-146.07950233937657,-0.00028356241455185227,50.450356386601925,0.7699935804121196
120,983040,1346.3443627357483,730.1549493641284,355.12172607415795,-146.07950233937657,0.0013459850051731337,45.91040077805519,0.7637967388145626
121,991232,1358.413966178894,729.6980336474702,420.59211085402933,-146.07950233937657,0.0007412553059111815,79.78261996805668,0.7872877181507647
122,999424,1369.8645343780518,729.5787100976085,439.6553789524992,-146.07950233937657,0.00021191898122197017,60.94616049528122,0.7502914587967098
123,1007616,1380.0094690322876,730.1515117186672,645.7339099750703,-146.07950233937657,-0.0022032737542758696,148.62259805202484,0.7089517065323889
124,1015808,1391.3940572738647,730.0649263877523,350.19202260893286,-151.27683603663266,0.00256855652332888,119.74762925505638,0.7618318102322519
125,1024000,1403.1832332611084,729.7692672824655,444.0115341895298,-151.7584152667867,0.0028120389324612916,142.0528540611267,0.751251979265362
