episode,env_steps,elapsed_time_s,steps_per_s,episode_return,rolling20_return,avg_loss
487,212439,348.32,609.90,269.09,251.05,1.0090
488,212889,349.05,609.91,238.21,249.56,1.0613
489,213550,350.14,609.91,238.52,250.84,1.0269
490,214029,350.95,609.86,213.47,248.86,1.0007
491,214337,351.47,609.83,252.75,248.76,0.9806
492,214637,351.97,609.82,296.66,249.95,1.1013
493,214932,352.44,609.85,231.85,248.89,1.0747
494,215380,353.14,609.90,260.48,247.83,1.0211
495,215619,353.53,609.90,263.24,248.98,1.2034
496,216186,354.46,609.89,210.41,246.22,0.9752
497,216439,354.88,609.89,258.39,247.25,1.0512
498,216647,355.23,609.88,261.48,248.06,0.9047
499,217325,356.34,609.88,254.55,246.37,1.0294
500,217601,356.77,609.92,272.44,248.33,1.0577
501,217816,357.12,609.93,290.01,251.18,1.1687
502,218229,357.79,609.94,286.93,256.41,1.2916
503,218454,358.16,609.94,261.50,255.10,1.1052
504,218752,358.66,609.92,280.68,256.86,1.0770
505,219017,359.09,609.92,278.69,260.30,1.1481
506,219377,359.69,609.91,289.82,260.46,1.0306
507,219926,360.58,609.91,256.15,259.81,1.1170
508,220325,361.23,609.92,262.65,261.03,1.0571
509,220538,361.56,609.96,280.80,263.15,1.0001
510,220849,362.08,609.95,243.26,264.64,1.0902
511,221478,363.11,609.95,167.18,260.36,1.0454
512,221908,363.83,609.93,229.57,257.00,1.0520
513,222306,364.47,609.95,272.68,259.04,1.0978
514,222672,365.07,609.95,267.59,259.40,1.1474
515,222996,365.60,609.95,266.35,259.56,1.1379
516,223214,365.96,609.94,243.76,261.22,1.0073
517,223495,366.41,609.96,256.28,261.12,0.9157
518,224393,367.90,609.92,206.36,258.36,0.9597
519,225393,369.55,609.92,86.39,249.95,1.0587
520,226393,371.20,609.90,126.54,242.66,1.0086
521,227064,372.31,609.88,266.39,241.48,1.0203
522,228048,373.95,609.84,205.03,237.38,1.0171
523,228390,374.51,609.84,255.10,237.06,0.9526
524,228671,374.95,609.87,293.00,237.68,0.9788
525,228880,375.29,609.87,275.30,237.51,0.9545
526,229242,375.94,609.79,253.81,235.71,1.0106
527,229488,376.35,609.78,274.26,236.62,0.9698
528,229786,376.82,609.81,245.00,235.73,1.0669
529,230030,377.20,609.84,267.16,235.05,0.8984
530,230505,377.98,609.84,231.67,234.47,1.0109
531,230882,378.60,609.83,259.04,239.06,0.8797
532,231882,380.21,609.88,114.62,233.32,1.0229
533,232142,380.64,609.87,265.34,232.95,0.9667
534,232393,381.05,609.88,237.88,231.46,0.9843
535,232757,381.66,609.86,279.99,232.15,0.9013
